trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,2,4.823588935865744,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,0,-71.94726399671151,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
121,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-56.778927420747294,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,14,-0.338120708149136,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,13,-1.9548131044281636,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,9,-29.869864246603402,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,20,-4.3039714470319055,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,11,-9.801531283634304,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.28671520963195546}",35,18,-22.632755104854045,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,12,9.599074170464881,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,10,-36.35884447699804,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,10,12.70175658346431,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,11,13.2214062529719,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,14,-35.47208130334932,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,15,10.100127528908509,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,18,13.986412438485287,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,12,15.880621675446989,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.19944972099757285}",35,23,9.553200810683778,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,-44.348760251318346,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,12,2.418900349981506,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,11,-7.051699385901138,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,11,16.22042600907592,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,9,29.222723139070297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,0,5.058888596187448,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,18,12.12111025979405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,8,24.164453285054442,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.11056977982006957}",25,12,26.66959635084654,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.10062573338693172}",25,13,16.78552759594044,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,14,19.587308154281203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.08070844845480062}",30,20,16.950995682540423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,7,21.9935972410431,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,11,17.264090242380334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,12,9.12610830955964,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,15,9.183653902541458,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.030791459082466124}",30,7,41.88785953702616,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.02079482780309243}",25,4,36.500048055708746,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,16,19.415775679305323,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.0007963267107332633}",35,18,28.321734078816213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,26.04818381943851,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,18.181401147585213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,14.97448377797408,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,17,28.012070685486353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,12.426820093282805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,22.91452241068513,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,32.78860734559553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,24,18.97390038095288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,27.36682309548906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,17.909572974271065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
